id,price
22730,4765085.6811999995
22731,6209272.9078
22732,9060247.076299999
22733,1608972.9793999998
22734,6751675.2122
22735,111083.770516875
22736,9915334.039499998
22737,5258589.9745000005
22738,5578076.302099999
22739,9841131.3878
22740,6953499.3919
22741,6100495.705
22742,5177933.9272
22743,1080888.05785
22744,5114477.4374
22745,3382895.2336999997
22746,5810628.231999999
22747,4239538.0001
22748,3547829.1387
22749,7077217.7820999995
22750,7598074.005799999
22751,7011290.9783
22752,6212508.282
22753,3628633.7337999996
22754,9255246.1832
22755,2361804.7552
22756,3923896.3192
22757,4778958.4381
22758,9771437.0735
22759,3187507.2142
22760,2846323.3462999994
22761,4902558.066199999
22762,1205551.53925
22763,1941726.5155
22764,2620678.3454
22765,5474305.9725
22766,3164645.6525999997
22767,7887184.7061
22768,27235.141032375
22769,3538370.4661
22770,1716647.3783
22771,3507281.0746999998
22772,8438481.5113
22773,1261946.2485
22774,7531730.5514
22775,6786665.274499999
22776,1541622.9218000001
22777,6853949.6912
22778,5330601.579599999
22779,236304.724525
22780,9665735.5295
22781,8232897.498
22782,1399406.5524999998
22783,7492967.3001999995
22784,4068754.9644
22785,8904092.5947
22786,95622.381291875
22787,2096982.9293999998
22788,8127898.814099999
22789,6450602.9062
22790,2592020.8245
22791,5297648.173799999
22792,9429203.4057
22793,7693435.614599999
22794,8655234.7916
22795,6170205.0768
22796,5803778.6172
22797,7762563.0265999995
22798,692420.9959849999
22799,9412288.279199999
22800,77017.818962625
22801,5449462.6274
22802,3569770.389
22803,1446069.1966999997
22804,7221945.6453
22805,7433258.9195
22806,1814193.724
22807,4211945.1876
22808,6244520.8644
22809,2522092.6460999995
22810,6105530.550399999
22811,4118255.5769999996
22812,943756.60463
22813,787191.79099
22814,9258177.6818
22815,5094746.255799999
22816,4518808.4158
22817,2538375.7247
22818,2233952.4874
22819,5875068.014799999
22820,8539695.7018
22821,2622002.079
22822,7993729.93
22823,589771.02145
22824,5342246.1007
22825,5352023.7531
22826,6856095.7023
22827,4507535.6492
22828,2332961.7605999997
22829,8239594.2546999995
22830,3045271.659
22831,373839.68663
22832,2776376.8007
22833,7377719.9421
22834,4487810.2621
22835,1201531.5628999998
22836,8905965.2907
22837,7227863.9986
22838,465707.665175
22839,3293962.7045
22840,1565842.2399
22841,2886176.3022999996
22842,6682477.8504
22843,8538875.142
22844,3058927.4713999997
22845,9764167.2113
22846,2695699.4577
22847,3559116.1418999997
22848,8077408.9184
22849,7135299.3566
22850,5672113.859999999
22851,7171841.3434
22852,6514401.4398
22853,3799641.9044999997
22854,971220.83287
22855,221573.451895
22856,8861187.7822
22857,7175013.542599999
22858,3604289.8279
22859,1100745.8372999998
22860,913301.85777
22861,1258666.91365
22862,9380071.1408
22863,5258120.9298
22864,8316485.6732
22865,9056746.2213
22866,9982606.326699998
22867,1072511.6517
22868,422091.71981
22869,1755736.096
22870,6925335.125399999
22871,5489628.5633000005
22872,1920721.4043999999
22873,758065.1336599999
22874,10290.05561906875
22875,6700482.441699999
22876,1317634.13915
22877,1917789.9858
22878,1010945.96265
22879,2851175.8235
22880,1998603.01
22881,1527361.60365
22882,2810684.0875
22883,289183.450615
22884,1578659.8928999999
22885,8902862.4133
22886,5732488.2313
22887,6204740.4816
22888,9872466.2328
22889,9884844.5317
22890,6521180.7195
22891,730193.7880249999
22892,4250292.1208999995
22893,409776.8356825
22894,5457382.892099999
22895,1009282.84225
22896,2196639.2346
22897,2949028.5858
22898,3968409.0511999996
22899,7249323.4178
22900,5819468.0912
22901,1551465.8097499998
22902,152297.69435
22903,5820321.1127
22904,2807147.7187
22905,2097818.8212
22906,6587747.1773
22907,9174226.928199999
22908,1193728.51865
22909,2765988.1701999996
22910,6805157.959299999
22911,2946020.7914
22912,3786722.9395999997
22913,5617313.836
22914,5112493.5583
22915,84174.33680712499
22916,1785696.9965
22917,115256.00924125
22918,790255.8540749999
22919,2390068.2480999995
22920,8757734.2311
22921,145047.21939125
22922,7593798.045899999
22923,3211333.3215
22924,5017664.714199999
